iter	Logloss
0	0.6831047982
1	0.6744343643
2	0.6666062654
3	0.6616221232
4	0.6519981702
5	0.6485284973
6	0.6431333391
7	0.6390022304
8	0.6364011583
9	0.6324610229
10	0.6293430845
11	0.6231706022
12	0.6159782098
13	0.606460876
14	0.6048300754
15	0.6033174741
16	0.5996863153
17	0.5850938418
18	0.5820102121
19	0.5807263651
20	0.5684176656
21	0.5672021647
22	0.5654617293
23	0.5644579056
24	0.5636104013
25	0.5597067782
26	0.5561486754
27	0.5553461683
28	0.5534893843
29	0.5498428534
30	0.5493254273
31	0.5445567766
32	0.5394258683
33	0.5388014436
34	0.5364619098
35	0.5322275495
36	0.5311827473
37	0.5285425569
38	0.5268270279
39	0.5250266651
40	0.5238766773
41	0.5175231226
42	0.5133922031
43	0.5125069783
44	0.5120001898
45	0.5112256309
46	0.5102318838
47	0.5067063598
48	0.5045241976
49	0.5031044341
50	0.5025625765
51	0.5018444072
52	0.5007229905
53	0.4984879178
54	0.4969393528
55	0.4962092486
56	0.494536894
57	0.4942155211
58	0.4933401905
59	0.4923146302
60	0.4914427579
61	0.4908454721
62	0.4861205418
63	0.4841377652
64	0.4802789903
65	0.4787494204
66	0.4770169961
67	0.4762793572
68	0.4759715685
69	0.4756716419
70	0.472822566
71	0.4712509562
72	0.470338812
73	0.4688415696
74	0.468371745
75	0.4671396919
76	0.4666378017
77	0.4632180746
78	0.4624409343
79	0.4611014325
80	0.4598991535
81	0.4561759154
82	0.4541892904
83	0.4536356055
84	0.4531432343
85	0.4518357998
86	0.4513576847
87	0.4502618054
88	0.4495703115
89	0.4491654333
90	0.448779491
91	0.4468878075
92	0.4438868515
93	0.4434485613
94	0.4417689824
95	0.4393306472
96	0.4389719401
97	0.4384030276
98	0.4372690614
99	0.4350118643
100	0.4338235986
101	0.4297201862
102	0.4288325403
103	0.4284878443
104	0.4277260754
105	0.42622785
106	0.4246491157
107	0.4242041591
108	0.4236511737
109	0.4233333272
110	0.4212133684
111	0.420804297
112	0.4204776341
113	0.4200572847
114	0.4193810895
115	0.4184575807
116	0.4179479767
117	0.4171167582
118	0.416725759
119	0.4160395162
120	0.4158100751
121	0.4155290563
122	0.4143821555
123	0.4129940116
124	0.4114217899
125	0.4107420302
126	0.4091587447
127	0.4089937567
128	0.4075073578
129	0.4065622285
130	0.4058403665
131	0.405518118
132	0.4046287285
133	0.4034057434
134	0.4029844645
135	0.4027354621
136	0.4022346198
137	0.4011530449
138	0.400832014
139	0.3995099044
140	0.3990944372
141	0.397612282
142	0.3963270155
143	0.3958190871
144	0.3943162003
145	0.3940446401
146	0.3932452282
147	0.3918990834
148	0.3916525983
149	0.3910648438
150	0.3906790699
151	0.390374156
152	0.3900506556
153	0.3893737648
154	0.3883489186
155	0.3877652977
156	0.3870680128
157	0.3848515453
158	0.3844067517
159	0.384051287
160	0.3836863155
161	0.3833393901
162	0.3830534502
163	0.3827128798
164	0.3822295416
165	0.3817268833
166	0.3814365075
167	0.3808991347
168	0.3805659098
169	0.3802045414
170	0.3798876822
171	0.3791693822
172	0.3788620308
173	0.3784249549
174	0.3775938192
175	0.377373274
176	0.3771931367
177	0.3770399316
178	0.3767237609
179	0.3761627594
180	0.3759253348
181	0.3756450335
182	0.3752032458
183	0.3747246489
184	0.374459034
185	0.3739232972
186	0.3734806647
187	0.373037345
188	0.3724082172
189	0.3714400051
190	0.3708890498
191	0.3706642893
192	0.3703312236
193	0.3699717843
194	0.3697587423
195	0.3688365426
196	0.3686321912
197	0.3678669197
198	0.3675477276
199	0.3673056178
200	0.3666215964
201	0.3660064153
202	0.365087004
203	0.3649317797
204	0.3647150153
205	0.3645294109
206	0.3642043529
207	0.3639686991
208	0.3637850095
209	0.363317115
210	0.362979827
211	0.3619727295
212	0.3616432279
213	0.3614885435
214	0.3612016075
215	0.360994851
216	0.3607429919
217	0.3605813622
218	0.3604004269
219	0.3600186651
220	0.3598971052
221	0.3592088841
222	0.3580001679
223	0.3576779512
224	0.3574594072
225	0.3572195714
226	0.3569254776
227	0.356781109
228	0.3564628806
229	0.3559606728
230	0.3557133194
231	0.3550360197
232	0.3543057289
233	0.354108678
234	0.353882631
235	0.3537498762
236	0.3534407752
237	0.3528895144
238	0.3526732122
239	0.3523586874
240	0.3521963139
241	0.3520303544
242	0.3518896302
243	0.3505622879
244	0.3500794774
245	0.3497128677
246	0.3494834279
247	0.3493067281
248	0.3486547297
249	0.3484276417
250	0.3481710803
251	0.3479060811
252	0.3469180389
253	0.3467249264
254	0.3466124644
255	0.346139541
256	0.3456775501
257	0.3454413223
258	0.3452041863
259	0.3450456276
260	0.3449224631
261	0.3447481125
262	0.3445079702
263	0.3441083569
264	0.3439599628
265	0.3434307647
266	0.3432635623
267	0.3431005512
268	0.3429795806
269	0.3428173315
270	0.3426855359
271	0.3425452439
272	0.3422831911
273	0.3419822794
274	0.3411096245
275	0.3409611471
276	0.3407272345
277	0.3403663629
278	0.3402434734
279	0.3400911689
280	0.3399260619
281	0.3394258248
282	0.339277446
283	0.3391175616
284	0.3388514977
285	0.3385116436
286	0.3383985589
287	0.3382347762
288	0.3381426438
289	0.3379810764
290	0.3377465097
291	0.3376726849
292	0.3375033448
293	0.3369972456
294	0.3368207115
295	0.3359829183
296	0.3358537369
297	0.335726112
298	0.3354668653
299	0.3353579728
300	0.3348931352
301	0.3342715621
302	0.3340488961
303	0.3335802767
304	0.3331826964
305	0.333009612
306	0.3326800751
307	0.3326060779
308	0.3322189842
309	0.331990208
310	0.3318754941
311	0.3317253802
312	0.3315978901
313	0.331125146
314	0.3309653683
315	0.3307671796
316	0.3304877329
317	0.3301135387
318	0.3298551311
319	0.329675927
320	0.3295310692
321	0.3293310033
322	0.3292359913
323	0.3290919754
324	0.3287858478
325	0.328667062
326	0.3285144815
327	0.3281073364
328	0.3279279575
329	0.3278646388
330	0.3277517643
331	0.3272451009
332	0.3266701005
333	0.3264661613
334	0.3263765178
335	0.326229416
336	0.3260708748
337	0.3258915269
338	0.325780992
339	0.3254255508
340	0.3253714645
341	0.3252471925
342	0.3250948909
343	0.3249184383
344	0.3247379577
345	0.3246646132
346	0.3245030836
347	0.3243581806
348	0.3241154126
349	0.3239923499
350	0.3238390287
351	0.3236869184
352	0.3235933157
353	0.3233363598
354	0.3229586706
355	0.3228642248
356	0.3227529391
357	0.322620031
358	0.3224460832
359	0.3222939956
360	0.3222294363
361	0.3221131471
362	0.3219002503
363	0.3217921761
364	0.3215149783
365	0.3213836002
366	0.3212390652
367	0.3210847641
368	0.3207467311
369	0.3205804291
370	0.3204160715
371	0.320296225
372	0.3201963162
373	0.3199118597
374	0.3196163644
375	0.3194720069
376	0.3191881981
377	0.3190966932
378	0.3189439072
379	0.3187568769
380	0.3186368132
381	0.3185088005
382	0.3183450808
383	0.3182507435
384	0.3181187034
385	0.3177536337
386	0.31762911
387	0.3175158552
388	0.3173200278
389	0.3172019566
390	0.3171092608
391	0.3169636993
392	0.3166568394
393	0.3165664352
394	0.316457661
395	0.3163960924
396	0.3159958804
397	0.315818483
398	0.3156363337
399	0.3155600532
